node_id,x,y,theta,v,w,parent_id
1797,-16.792207727232118,-21.993498888246624,-4.046573499964666,7.318300629966208,-2.5255608712978552,1783
1798,10.060460572061691,-21.739300345205542,9.167492160816684,-4.853344462341615,3.682812815785832,695
1799,-24.699733446222886,-12.498382020954727,2.9229360228748145,4.272236856970053,0.42964024337672313,1779
1800,21.062261944511985,-28.11365406805114,-5.185394352332648,8.920932745208878,-1.0512647205216856,334
1801,36.84994202349646,-3.250650711373637,5.781741559033884,0.713457810841867,-1.8333321108704994,1593
1802,24.03061912674965,-10.512861458527048,5.647371421035148,3.359153460155298,-0.4838686863173668,1647
1803,28.26769412876621,-1.8941936243928035,13.863266137159043,-0.4175783065337432,0.9639038273389098,953
1804,6.252248637838509,-0.7107409620011249,-0.4693060143962894,-4.143185315246023,-0.2405240681096496,1704
1805,-15.093846919011876,-9.205772753483947,4.740101259023676,5.975390194902015,1.4314892033824334,1505
1806,12.64083077861949,-19.27378869097125,1.4725793122685917,-1.1076306891271135,-2.3143361348436184,1632
1807,17.301950077368147,-25.070078895872246,11.860467469333718,-1.4560073264515212,3.751358385670317,137
1808,39.84730409683038,-28.521362341619547,2.5410410229413607,2.616179636676473,1.3388327591306532,1639
1809,11.643832204399352,-1.3717818274626277,0.41028315277742283,6.11284533151725,1.108741955686956,1430
1810,14.549210878654126,-23.927756365402008,-2.061279344740437,2.1760183552726176,-1.8425963098383034,843
1811,28.44615969318016,-36.918249040021955,2.8098361400888354,5.883692198726447,5.128732059979747,88
1812,6.969965722271926,-1.427442510690839,-0.3287787345290426,5.167914953565547,0.7622844364435645,1313
1813,38.72966704306095,-32.8318974246736,-3.263606521974561,-4.159836337062358,-1.8317472679590667,9
1814,-2.1201618300269667,-0.21975550018467455,-2.659988590344576,-2.8188110967659568,-2.8241048426917286,1226
1815,-1.8875287408193075,6.531791312042474,-1.8087869618385348,-0.5628312998817327,1.0483674149796418,1790
1816,3.83457835018885,-6.602123303794641,13.092230032856792,1.3102694054055952,2.133695141552945,1627
1817,16.240408379965217,-21.38111875120184,2.5801936655535993,3.17085173031197,-1.6573890854702094,1044
1818,36.5540150987755,-12.886348445017454,-8.545890469657374,-6.44232139467577,-2.4985339180452093,1130
1819,-11.965976334954664,-11.963235931508702,6.461209365684807,5.7252869103458695,2.5297841967815557,1371
1820,16.61477970674756,-37.645556167877125,1.6390104057562336,-6.333086493047303e-3,2.490167816234003,235
1821,6.668314159559298,-9.301427618484594,10.11120974531941,2.3561970002838297,1.7282768035541018,1153
1822,-31.790245692742243,-5.436715070542667,0.8308259916541456,6.5183335907934,-2.225442845282878,1799
1823,29.747589913714705,-35.833960121776414,10.685881504316766,-2.238322908044223,0.924667649962648,650
1824,16.729082696703994,-18.989431760805413,2.452988547343581e-2,2.333092126773453,-2.3930081205877616,1044
1825,21.67959438893975,-9.429080674763535,-3.4295483886991884,1.6314401178162323,2.0802332716362666,1635
1826,-29.54052476351999,-9.840329271245938,0.8427327815739017,1.1328915563438964,-2.2000259806540985,1799
1827,-25.72020399365194,-24.28008093874519,9.57438704414445,2.935232577615699,0.8762305955003704,1729
1828,-27.515777131660297,-14.230096953530191,13.239501902793915,-0.5096025920739338,5.482431894112732,1799
1829,18.86792803689041,-18.742170945251807,-7.298690951076947,6.99895792929407,-2.6228965619809936,1824
1830,7.678811865941337e-2,-4.253104003285104,6.134958888176278,-1.342984779061286,-2.602192519493235,1774
1831,-26.159141143792443,-24.378154787255163,9.718045632105477,2.6916039429669127,0.9195017540124599,1827
1832,8.134488868101672,-11.28281725481127,5.688212295454838,-0.9446450482727784,-1.683823766345488,605
1833,-9.64370045504486,0.746631264348876,-1.9815769829528331,2.3664402634120334,-1.943452907256002,1555
1834,10.587275609183424,-9.317662861242813,13.855505802676996,-4.878755958811917,-0.7025630780631344,376
1835,12.1517971323212,-19.814669655616008,0.3166329014547247,-1.7995585771599651,-2.047725792755882,1806
1836,40.17174742601541,-18.803992434910693,7.249424129702173,-0.7597522155403307,2.8032981960076886,1649
1837,38.179175588225036,-2.7350267696849535,-9.64564321798358,-4.41952230212691,-3.506329887145078,1391
1838,10.11657032278386,-25.299075146241016,10.336188661593102,-1.2791301479629151,2.107555976636159,1509
1839,18.755587717257654,-33.52032609957348,-3.0372231238107643,-3.055842845428447e-2,0.30477608981148196,1005
1840,-23.30450768269065,-24.553267791454736,9.129266461876119,2.752646918308723,1.5242248439430284,1637
1841,19.222023629550055,-33.56349308087282,-3.9832739376422284,-3.5432573701814465,-1.1289323138835712,644
1842,39.568730161554655,-33.10023637600223,-3.631231600086941,-4.277373091665369,-1.6694439521588336,1813
1843,-2.9509631412592787,4.348984353491288,-1.6653680376533488,-2.3592640771489215,-1.7407649704881372,1790
1844,11.284302304273444,-24.287116036878277,-2.8474979842573482,1.2982058199387208,-3.175083299757772,237
1845,-37.036036825528875,-16.65645884713579,8.280834815943608,3.0573058023385116,0.6614818587377098,1788
1846,-2.291959218003332,7.143106033582829,9.993322314536881,1.275803006093113,3.920941754020532,1815
1847,3.973331008878545,-6.4908611216261285,13.397678704649046,1.0703252283775033,1.9389538156771946,1816
1848,43.136588350595396,-5.889400897001868,-4.644390338054291,-2.937375111055176,-0.7392443419721781,1076
1849,-39.44524476972533,-14.008283798243065,8.54928865246776,-8.979153811066742e-2,-0.4414377304392262,1845
1850,24.368951028494877,-25.615330503963207,3.211232977728775,1.4757793778347041,3.6656350656923666,788
1851,21.041498054381968,-38.41639176738418,10.095240756187525,4.718152410410943,0.4662461217657154,1580
1852,40.82561434510068,-24.05533675305261,-2.3097993438996243,3.389752141570504,-6.149105399137168e-2,1678
1853,-13.326244580418711,-22.34930226077565,-2.5759382396331514,3.9208932397961225,-2.639903116750142,1613
1854,25.339363672233773,-15.146540186191888,-1.3078944645080617,2.1499478888550323,-0.4791967104160476,1581
1855,7.003536360473535,-5.41590388947102,11.744635665457935,0.5281954930366104,2.434507637505955,1741
1856,-26.58999388288166,-12.206581777517853,3.020865533960744,3.870242012435856,-1.2918919606807418e-2,1799
1857,-12.51408588497864,-8.19938886757183,10.084229708645138,3.43975024335401,2.425199525036523,1280
1858,39.96529719738996,-19.23211982357299,4.844123631579368,2.7609414025971235,1.633116129366472,1649
1859,36.81042643478532,-28.140459620603075,3.187682430471076,2.858142596729385,-0.20437414942939702,1808
1860,-41.574088329122375,-13.5223041840296,10.089685776965576,2.8167621584579816,2.1435340006025574,1849
1861,24.694756953900196,-37.78362381935681,-1.8586715579681885,-1.2296609906471627,-1.0821247662129756,863
